Phenomenon,Accident_count,total_phenomenon_hours,Accident_per_hour
Clear,375,16.969444444444445,22.098543133082337
Drizzle,2,0.1111111111111111,18.0
Haze,9,1.1055555555555556,8.140703517587939
Mist,29,4.266666666666667,6.796875
Light rain,20,0.3638888888888889,54.961832061068705
