District,Accident_count,Percentage
Flatlands,7,1.4492753623188406
East Williamsburg,2,0.4140786749482402
Elmhurst-Maspeth,2,0.4140786749482402
Allerton-Pelham Gardens,1,0.2070393374741201
Airport,2,0.4140786749482402
Bayside-Bayside Hills,4,0.8281573498964804
Forest Hills,1,0.2070393374741201
Fort Greene,1,0.2070393374741201
Hudson Yards-Chelsea-Flatiron-Union Square,16,3.3126293995859215
Ozone Park,1,0.2070393374741201
Morrisania-Melrose,2,0.4140786749482402
University Heights-Morris Heights,2,0.4140786749482402
West Village,3,0.6211180124223602
East Harlem North,3,0.6211180124223602
Pomonok-Flushing Heights-Hillcrest,5,1.0351966873706004
Murray Hill-Kips Bay,4,0.8281573498964804
