Sunset Park East,1.7541874028629154
Westerleigh,8.12134184642794
Mount Hope,1.3950036334037708
Arden Heights,1.2626520503037886
Rossville-Woodrow,3.862260887260559
East Village,0.80176051764301
Bushwick South,4.703991996652074
Sunset Park West,7.949697584551839
Midtown-Midtown South,19.0665731803301
Laurelton,3.960511791617866
Williamsburg,1.5541388753005212
Stapleton-Rosebank,4.5233387873235555
East Concourse-Concourse Village,1.1109322392842862
Van Cortlandt Village,1.276203673491175
Borough Park,3.4796926343953976
Washington Heights South,1.7742720633577655
Astoria,2.9974562265671723
Glendale,3.227877315516524
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,5.364849509646424
Charleston-Richmond Valley-Tottenville,11.351717301482015
South Jamaica,4.5063585050112325
Brownsville,3.2149035767165537
Schuylerville-Throgs Neck-Edgewater Park,8.062376010559149
Central Harlem South,1.2143170796275773
Brighton Beach,1.3610745811440552
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,7.378676315109111
park-cemetery-etc-Manhattan,135.4408619411744
Bath Beach,2.06164689433959
Murray Hill-Kips Bay,2.2820314719498733
Bushwick North,2.297538634739329
Great Kills,4.912629838667551
Jackson Heights,3.559778200001968
Woodhaven,3.1467659861368036
Ridgewood,4.521737735965953
Middle Village,4.894157041608217
Canarsie,8.740941518575404
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,26.055064361659845
Belmont,1.2676418012071353
Soundview-Bruckner,1.7732742961386638
Bensonhurst East,2.2573582044493077
Elmhurst-Maspeth,2.6551148265737075
East Flatbush-Farragut,3.1248266408019325
Elmhurst,2.7486273329641517
Ozone Park,3.3368524037425695
Stuyvesant Town-Cooper Village,0.17070445242905066
Annadale-Huguenot-Prince's Bay-Eltingville,13.44121339925258
Crotona Park East,2.770070570978746
Soundview-Castle Hill-Clason Point-Harding Park,4.436056565900968
Pelham Parkway,1.572874552342863
Fresh Meadows-Utopia,3.4593774351526827
East New York (Pennsylvania Ave),2.720850615191199
North Corona,1.2748165227802137
Clinton Hill,2.382607445686251
Fort Greene,2.2832816433132064
park-cemetery-etc-Brooklyn,2577.3194534484333
Williamsbridge-Olinville,3.364319184941321
Rego Park,2.1173237975243393
Fordham South,0.3853939659673504
St. Albans,9.886331338777248
Chinatown,2.2358372125369366
Marble Hill-Inwood,1.4267222337384704
East New York,21.131382632379367
Forest Hills,4.7393917744656715
Park Slope-Gowanus,5.092179067184915
Murray Hill,4.031025336305374
Hammels-Arverne-Edgemere,4.195955850117704
Glen Oaks-Floral Park-New Hyde Park,5.010424771314085
Oakland Gardens,4.008458722188379
East Harlem North,3.2437390745596977
East Tremont,1.7287884424445035
Co-op City,3.2438138131854957
Queens Village,9.821287785921117
North Side-South Side,3.7967311645428197
Melrose South-Mott Haven North,1.7208432178746043
Bensonhurst West,3.6972199620127233
Cypress Hills-City Line,3.1806817816660162
Upper West Side,1.9461677523261034
Briarwood-Jamaica Hills,2.9501036955361415
Lindenwood-Howard Beach,9.052493653406605
Madison,2.3435914651573486
SoHo-TriBeCa-Civic Center-Little Italy,6.837322969104958
Rugby-Remsen Village,3.99401126633311
Kensington-Ocean Parkway,0.899037683516652
College Point,5.594037411615842
Jamaica,8.198826976487345
Erasmus,1.4921739194844506
Bayside-Bayside Hills,11.38474537308222
Oakwood-Oakwood Beach,3.735812507946702
Gravesend,2.493783568258025
Kew Gardens Hills,3.6239845024422883
Kingsbridge Heights,1.274212352551277
Springfield Gardens North,2.8562103784574084
Baisley Park,5.1640788297386555
Queensboro Hill,4.401862850215382
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,5.8504519418309435
Hunters Point-Sunnyside-West Maspeth,23.502473352263785
Midwood,3.29606650338782
Grymes Hill-Clifton-Fox Hills,3.0079479350214244
Brooklyn Heights-Cobble Hill,1.265103110942084
Lincoln Square,1.1437385620837426
park-cemetery-etc-Bronx,756.6297576478195
West Brighton,0.7394462549011774
Douglas Manor-Douglaston-Little Neck,8.955313219981205
Crown Heights South,1.4276955768608641
Old Town-Dongan Hills-South Beach,5.012844460982847
Flushing,5.428714817704246
Lower East Side,1.1730166544247989
University Heights-Morris Heights,2.5568490183374615
Auburndale,4.163770134559366
East Flushing,2.2926466766433187
Gramercy,0.8310410392279097
Pomonok-Flushing Heights-Hillcrest,3.5143896548053384
Whitestone,7.672261327505895
South Ozone Park,13.216556827622014
Queensbridge-Ravenswood-Long Island City,4.947738762593593
Greenpoint,4.243416875668667
Van Nest-Morris Park-Westchester Square,5.220558522303281
Flatlands,6.786974060509048
Ocean Parkway South,2.6069105378565687
Longwood,0.8572445723944198
Georgetown-Marine Park-Bergen Beach-Mill Basin,6.182758307109259
Dyker Heights,2.447162255981852
Turtle Bay-East Midtown,2.966562299490929
Hamilton Heights,1.1252069858977367
Westchester-Unionport,3.12908225380298
Claremont-Bathgate,2.1477616609457737
park-cemetery-etc-Queens,11821.403155184573
Airport,Infinity
Corona,1.276359063472835
Norwood,1.7459247099854966
Homecrest,2.849660714363654
Central Harlem North-Polo Grounds,2.48622391466813
Clinton,3.112660479984742
Parkchester,0.5529619688376102
New Springville-Bloomfield-Travis,50.477600154891235
Woodlawn-Wakefield,3.6032524146401887
Steinway,7.913350123782131
Bedford Park-Fordham North,1.031215924776122
Eastchester-Edenwald-Baychester,4.109492473364664
East Elmhurst,2.1445551835841696
Bay Ridge,6.020342708910641
Crown Heights North,6.203441731483147
Cambria Heights,4.8205688982744235
New Dorp-Midland Beach,6.177724266036639
Morrisania-Melrose,1.3715360038620132
Starrett City,0.9536259679327546
